original_sentence	augmented_sentence
And he said, Mama, I'm home.	And he said, Mama, I'm home.
He called his mom as soon as the school bus dropped him off.	He called his mom as soon as the school bus dropped him off.
And he said, Mama, I'm home.	y he said, Mama, I'm home.
He didn't say a word.	He didn't say a word.
And he said, Mama, I'm home.	y he said, Mama, I'm home.
He told his mom he had gotten home.	He told 他的 mamá he había gotten home.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know qué I was yendo para or anything, so era to denuncia to a designadas 地點 in Washington.
I have never been to Washington so when I was assigned there I got lost trying to find the place.	I have never been to Washington so when I was assigned there I got lost trying to find the place.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't sé qué I was va for or anything, so was to 檢舉 to a designada 地方 in Washington.
I knew exactly what I needed to do as I marched to Washington.	I knew exactly qué I necesitó to do as I marcharon to Washington.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know qué I era va para or anything, so era to 檢舉 to a designados 地方 in Washington.
I was not quite certain what I was going to do so I went to Washington where I was assigned to report.	I was not quite ciertas qué I fue going to do so I went to washington where I was asignados to report.
He didn't get to go.	He didn't 獲得 to go.
He was the first to be invited and enjoyed the experience.	He was the first to be invited and enjoyed the experience.
He didn't get to go.	He didn't get to go.
He wasn't allowed to attend.	He wasn't allowed to attend.
He didn't get to go.	He didn't 得到 to go.
He wasn't allowed to go to the museum's opening.	He wasn't allowed to go to the museum's opening.
And I was like OK, and that was it!	和 I was like OK, y 那個 era it!
After I said yes, it ended.	After I said yes, it ended.
And I was like OK, and that was it!	y I fue gustar OK, y que was it!
I said no and it dragged on and on.	I said no y it arrastrados on 還有 on.
And I was like OK, and that was it!	y I was 喜歡 OK, y que estaba it!
When I said yes, we decided that we would get married that day.	When I said yes, we decided that we would get married that day.
I was just there just trying to figure it out.	I was just there just trying to figure it out.
I understood it well from the beginning.	I comprendido it bueno from the beginning.
I was just there just trying to figure it out.	I was solo allí sólo intentando to 圖 it out.
I was trying to understand where the money went.	I was intentándolo to understand where the 金錢 went.
I was just there just trying to figure it out.	I was just there just trying to figure it out.
I was trying to understand.	I was 嘗試 to understand.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, 她們 善良 of 實際上 parado 造訪 los familiares porque ellas were just, simplemente determined eso 他們 fueron va to be white.
They continued to visit every day.	They continued to visit every day.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, ellas amable of 其實 stopped visitar el 家屬 因為 它們 eran just, just determined que ellas were going to be white.
They didn't visit the family anymore.	她們 didn't 訪問 la 家庭 anymore.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.
They stopped visiting the family when the racial tensions started.	They stopped visiting the family when the racial tensions started.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	而且 abuelita utilizados to decir la story 關於 como su 姊姊 而且 her sister's 丈夫 decided 那個 她們 were going to mudanza to the city, to Augusta, 還有 傳球 for white.
Granny's Sister was white and moved to Texas.	Granny's sister was 白 y movido to Texas.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	y abuela utilizado to tell the 動態 關於 如何 她的 hermana y 她的 sister's 丈夫 decided 那個 她們 were yendo to 移動 to los city, to Augusta, y 通過 for white.
Granny's sister was not white.	Granny's 姐姐 was not white.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	y 阿婆 usada to tell the 動態 acerca 如何 她的 sister y 她的 sister's esposo decided eso 他們 estaban going to moverse to the city, to Augusta, y pase for white.
Granny's sister wasn't white but she wanted to be so she could go to school.	Granny's sister wasn't white but she wanted to be so she could go to school.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	麥可 Santo of, of Firewell 還有 Company, of Buffalo, NY, 它們 was el one 那個 uh, manufactured, uh, inventada the alto O2 regulador 前 那個 ellas 建 火焰 控制 on los estufa well.
Santo lived in New York and worked on the high O2 regulator.	Santo lived in nuevos 約克 還有 worked on the 高 O2 regulator.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	miguel santo of, of Firewell 而且 Company, of Buffalo, NY, 它們 was the one que uh, manufactured, uh, 發明 the alta O2 regulator 以前 que 她們 建 incendio 控制權 on las 火爐 well.
Santo specialized in fire safety because it was an issue that was dear to him.	santo especializado in fuego inocuidad 因為 it was an issue eso was estimados to him.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.
Santo worked for Disney and operated the tea cups.	santo worked for disney y operado the 茶葉 cups.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	但是 he was, tú know, in a lot of ways, just 像 a 種植園 owner's hijo porque he estaba the 兒子 of 這個 guy quien owned a lot of property.
His dad had never owned anything in his life.	他的 dad had never 擁有 anything in 他的 life.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	sino he was, 你 know, in a lote of ways, 只要 就像 a 種植園 owner's 兒子 因為 he era the 兒子 of esta guy quiénes owned a lot of property.
His dad owned 2000 acres of farmland.	他的 papa owned 2000 acres of farmland.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	不過 he was, 你 know, in a lote of ways, 只是 like a plantaciones owner's 兒子 因為 he era el 兒子 of 這個 guy quiénes owned a lote of property.
His dad owned a lot of property.	sus dad owned a lot of property.
