Streaming output truncated to the last 5000 lines.
epoch 1 iter 366: train loss 12.85358, lr 7.516160e-05:   5% 367/7827 [03:00<1:01:27,  2.02it/s]
epoch 1 iter 367: train loss 13.40742, lr 7.536640e-05:   5% 367/7827 [03:01<1:01:27,  2.02it/s]
epoch 1 iter 367: train loss 13.40742, lr 7.536640e-05:   5% 368/7827 [03:01<1:01:08,  2.03it/s]
epoch 1 iter 368: train loss 12.32104, lr 7.557120e-05:   5% 368/7827 [03:01<1:01:08,  2.03it/s]
epoch 1 iter 368: train loss 12.32104, lr 7.557120e-05:   5% 369/7827 [03:01<1:01:03,  2.04it/s]
epoch 1 iter 369: train loss 12.89113, lr 7.577600e-05:   5% 369/7827 [03:02<1:01:03,  2.04it/s]
epoch 1 iter 369: train loss 12.89113, lr 7.577600e-05:   5% 370/7827 [03:02<1:01:06,  2.03it/s]
epoch 1 iter 370: train loss 13.66612, lr 7.598080e-05:   5% 370/7827 [03:02<1:01:06,  2.03it/s]
epoch 1 iter 370: train loss 13.66612, lr 7.598080e-05:   5% 371/7827 [03:02<1:00:55,  2.04it/s]
epoch 1 iter 371: train loss 13.38461, lr 7.618560e-05:   5% 371/7827 [03:03<1:00:55,  2.04it/s]
epoch 1 iter 371: train loss 13.38461, lr 7.618560e-05:   5% 372/7827 [03:03<1:00:46,  2.04it/s]
epoch 1 iter 372: train loss 13.23778, lr 7.639040e-05:   5% 372/7827 [03:03<1:00:46,  2.04it/s]
epoch 1 iter 372: train loss 13.23778, lr 7.639040e-05:   5% 373/7827 [03:03<1:00:37,  2.05it/s]
epoch 1 iter 373: train loss 12.42108, lr 7.659520e-05:   5% 373/7827 [03:04<1:00:37,  2.05it/s]
epoch 1 iter 373: train loss 12.42108, lr 7.659520e-05:   5% 374/7827 [03:04<1:00:29,  2.05it/s]
epoch 1 iter 374: train loss 13.27975, lr 7.680000e-05:   5% 374/7827 [03:04<1:00:29,  2.05it/s]
epoch 1 iter 374: train loss 13.27975, lr 7.680000e-05:   5% 375/7827 [03:04<1:00:21,  2.06it/s]
epoch 1 iter 375: train loss 13.15688, lr 7.700480e-05:   5% 375/7827 [03:05<1:00:21,  2.06it/s]
epoch 1 iter 375: train loss 13.15688, lr 7.700480e-05:   5% 376/7827 [03:05<1:00:21,  2.06it/s]
epoch 1 iter 376: train loss 12.00522, lr 7.720960e-05:   5% 376/7827 [03:05<1:00:21,  2.06it/s]
epoch 1 iter 376: train loss 12.00522, lr 7.720960e-05:   5% 377/7827 [03:05<1:00:12,  2.06it/s]
epoch 1 iter 377: train loss 12.05074, lr 7.741440e-05:   5% 377/7827 [03:06<1:00:12,  2.06it/s]
epoch 1 iter 377: train loss 12.05074, lr 7.741440e-05:   5% 378/7827 [03:06<1:00:17,  2.06it/s]
epoch 1 iter 378: train loss 12.79183, lr 7.761920e-05:   5% 378/7827 [03:06<1:00:17,  2.06it/s]
epoch 1 iter 378: train loss 12.79183, lr 7.761920e-05:   5% 379/7827 [03:06<1:00:19,  2.06it/s]
epoch 1 iter 379: train loss 12.84843, lr 7.782400e-05:   5% 379/7827 [03:07<1:00:19,  2.06it/s]
epoch 1 iter 379: train loss 12.84843, lr 7.782400e-05:   5% 380/7827 [03:07<1:00:23,  2.06it/s]
epoch 1 iter 380: train loss 12.64989, lr 7.802880e-05:   5% 380/7827 [03:07<1:00:23,  2.06it/s]
epoch 1 iter 380: train loss 12.64989, lr 7.802880e-05:   5% 381/7827 [03:07<1:00:25,  2.05it/s]
epoch 1 iter 381: train loss 11.60342, lr 7.823360e-05:   5% 381/7827 [03:08<1:00:25,  2.05it/s]
epoch 1 iter 381: train loss 11.60342, lr 7.823360e-05:   5% 382/7827 [03:08<1:00:26,  2.05it/s]
epoch 1 iter 382: train loss 11.96386, lr 7.843840e-05:   5% 382/7827 [03:08<1:00:26,  2.05it/s]
epoch 1 iter 382: train loss 11.96386, lr 7.843840e-05:   5% 383/7827 [03:08<1:00:20,  2.06it/s]
epoch 1 iter 383: train loss 11.83596, lr 7.864320e-05:   5% 383/7827 [03:09<1:00:20,  2.06it/s]
epoch 1 iter 383: train loss 11.83596, lr 7.864320e-05:   5% 384/7827 [03:09<1:00:07,  2.06it/s]
epoch 1 iter 384: train loss 12.95126, lr 7.884800e-05:   5% 384/7827 [03:09<1:00:07,  2.06it/s]
epoch 1 iter 384: train loss 12.95126, lr 7.884800e-05:   5% 385/7827 [03:09<1:00:31,  2.05it/s]
epoch 1 iter 385: train loss 12.54958, lr 7.905280e-05:   5% 385/7827 [03:10<1:00:31,  2.05it/s]
epoch 1 iter 385: train loss 12.54958, lr 7.905280e-05:   5% 386/7827 [03:10<1:00:54,  2.04it/s]
epoch 1 iter 386: train loss 12.70224, lr 7.925760e-05:   5% 386/7827 [03:10<1:00:54,  2.04it/s]
epoch 1 iter 386: train loss 12.70224, lr 7.925760e-05:   5% 387/7827 [03:10<1:01:26,  2.02it/s]
epoch 1 iter 387: train loss 12.90381, lr 7.946240e-05:   5% 387/7827 [03:11<1:01:26,  2.02it/s]
epoch 1 iter 387: train loss 12.90381, lr 7.946240e-05:   5% 388/7827 [03:11<1:02:01,  2.00it/s]
