¿cuánto hace más o menos que tiene estos síntomas?	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass
y siempre el dolor de pecho debe tratarse de esta manera, en especial a su edad	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM PART PRON PROPN PUNCT SCONJ SYM VERB	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass case cc cc:preconj ccomp clf compound compound:ext
y también fiebre	ADJ ADP ADV	acl acl:relcl advcl
y también debe controlarse su colesterol y presión arterial	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass
¿y tiene fiebre ahora?	ADJ ADP ADV AUX	acl acl:relcl advcl advcl:relcl
y tiene alguno de los siguientes síntomas además de dolor de pecho	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM PART PRON PROPN	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass case cc cc:preconj
¿y tiene secreción nasal?	ADJ ADP ADV AUX	acl acl:relcl advcl advcl:relcl
¿y siente este dolor de pecho ahora?	ADJ ADP ADV AUX CCONJ DET INTJ	acl acl:relcl advcl advcl:relcl advmod amod appos
y también tiene dificultad para respirar	ADJ ADP ADV AUX CCONJ DET	acl acl:relcl advcl advcl:relcl advmod amod
¿y puede decirme qué otros síntomas tiene además de este?	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM PART	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass case
¿y este dolor sale de su pecho?	ADJ ADP ADV AUX CCONJ DET INTJ	acl acl:relcl advcl advcl:relcl advmod amod appos
y beba mucho líquido	ADJ ADP ADV AUX	acl acl:relcl advcl advcl:relcl
y cuánto ha tenido de fiebre	ADJ ADP ADV AUX CCONJ DET	acl acl:relcl advcl advcl:relcl advmod amod
y también tengo tos	ADJ ADP ADV AUX	acl acl:relcl advcl advcl:relcl
y tengo un poco de resfriado y tos	ADJ ADP ADV AUX CCONJ DET INTJ NOUN	acl acl:relcl advcl advcl:relcl advmod amod appos aux
y hoy realmente tengo un dolor de pecho bastante fuerte	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM PART	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass case
y es este el momento indicado para su alergia al polen	ADJ ADP ADV AUX CCONJ DET INTJ NOUN NUM PART PRON	acl acl:relcl advcl advcl:relcl advmod amod appos aux aux:pass case cc
y aparece el dolor de pecho	ADJ ADP ADV AUX CCONJ DET	acl acl:relcl advcl advcl:relcl advmod amod
