original_sentence	augmented_sentence
And he said, Mama, I'm home.	和 he said, Mama, I'm home.
He called his mom as soon as the school bus dropped him off.	He called his mom as soon as the school bus dropped him off.
And he said, Mama, I'm home.	And he said, Mama, I'm home.
He didn't say a word.	He didn't say a word.
And he said, Mama, I'm home.	和 he said, Mama, I'm home.
He told his mom he had gotten home.	He told his mom he had gotten home.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know what I was going for or anything, so was to 報告 to a 指定 地方 in Washington.
I have never been to Washington so when I was assigned there I got lost trying to find the place.	I have never been to Washington so when I was assigned there I got lost trying to find the place.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know what I was going for or anything, so was to report to a designated place in Washington.
I knew exactly what I needed to do as I marched to Washington.	I knew exactly what I 需要 to do as I marched to Washington.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know what I was going for or anything, so was to 檢舉 to a 指定 地方 in Washington.
I was not quite certain what I was going to do so I went to Washington where I was assigned to report.	I was not quite certain what I was going to do so I went to 華盛頓 where I was 指派 to report.
He didn't get to go.	He didn't get to go.
He was the first to be invited and enjoyed the experience.	He was the 第一 to be 受邀 而且 享受 the experience.
He didn't get to go.	He didn't 獲得 to go.
He wasn't allowed to attend.	He wasn't 允許 to attend.
He didn't get to go.	He didn't 獲得 to go.
He wasn't allowed to go to the museum's opening.	He wasn't 允許 to go to the museum's opening.
And I was like OK, and that was it!	And I was like OK, and that was it!
After I said yes, it ended.	After I said yes, it ended.
And I was like OK, and that was it!	And I was like OK, and that was it!
I said no and it dragged on and on.	I said no and it dragged on and on.
And I was like OK, and that was it!	而且 I was 像 OK, 還有 那個 was it!
When I said yes, we decided that we would get married that day.	當 I said yes, we decided 那個 we would 獲得 已婚 那個 day.
I was just there just trying to figure it out.	I was just there just trying to figure it out.
I understood it well from the beginning.	I 理解 it well 從 the beginning.
I was just there just trying to figure it out.	I was 只要 there 只要 嘗試 to 圖 it out.
I was trying to understand where the money went.	I was 嘗試 to understand where the 錢 went.
I was just there just trying to figure it out.	I was 只要 there 只是 嘗試 to 圖 it out.
I was trying to understand.	I was trying to understand.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.
They continued to visit every day.	她們 continued to 訪問 每個 day.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, 她們 善良 of 實際上 stopped 造訪 the 家人 因為 他們 were just, 只是 determined 那個 它們 were going to be white.
They didn't visit the family anymore.	They didn't visit the family anymore.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, 它們 善良 of 實際上 stopped 拜訪 the 家庭 因為 她們 were just, 只是 determined 那個 他們 were going to be white.
They stopped visiting the family when the racial tensions started.	她們 stopped 來訪 the 家屬 當 the racial tensions started.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	還有 阿婆 使用 to tell the 動態 關於 如何 她的 姐妹 還有 她的 sister's 丈夫 decided 那個 她們 were going to 移動 to the city, to Augusta, 還有 傳球 for white.
Granny's Sister was white and moved to Texas.	Granny's 姐妹 was 白色 和 感動 to Texas.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	還有 阿婆 使用 to tell the 故事 關於 如何 她的 姐姐 而且 她的 sister's 丈夫 decided 那個 他們 were going to 動 to the city, to Augusta, 而且 通過 for white.
Granny's sister was not white.	Granny's sister was not white.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	而且 阿婆 使用 to tell the 動態 關於 如何 她的 妹妹 還有 她的 sister's 丈夫 decided 那個 他們 were going to 動 to the city, to Augusta, 和 通行證 for white.
Granny's sister wasn't white but she wanted to be so she could go to school.	Granny's 姐妹 wasn't 白 但是 她 通緝 to be so 她 could go to school.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.
Santo lived in New York and worked on the high O2 regulator.	Santo lived in 新的 約克 和 worked on the 高 O2 regulator.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	麥可 Santo of, of Firewell 還有 Company, of Buffalo, NY, 他們 was the 一個 那個 uh, manufactured, uh, 發明 the 高 O2 regulator 以前 那個 它們 建 火 控制權 on the 爐 well.
Santo specialized in fire safety because it was an issue that was dear to him.	Santo specialized in 火焰 safety 因為 it was an issue 那個 was dear to him.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	麥可 Santo of, of Firewell 還有 Company, of Buffalo, NY, 她們 was the 一 那個 uh, manufactured, uh, 發明 the 高 O2 regulator 以前 那個 他們 建 消防 控制權 on the 爐子 well.
Santo worked for Disney and operated the tea cups.	Santo worked for Disney and operated the tea cups.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	但是 he was, 你 know, in a lot of ways, 只要 就像 a 種植園 owner's 兒子 因為 he was the 兒子 of 這 guy 誰 擁有 a lot of property.
His dad had never owned anything in his life.	他的 dad had 從不 擁有 anything in 他的 life.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	不過 he was, 你 know, in a lot of ways, 只是 喜歡 a 種植園 owner's 兒子 因為 he was the 兒子 of 這個 guy 誰 擁有 a lot of property.
His dad owned 2000 acres of farmland.	他的 dad 擁有 2000 英畝 of farmland.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	不過 he was, 你 know, in a lot of ways, 只要 喜歡 a 種植園 owner's 兒子 因為 he was the 兒子 of 這 guy 誰 擁有 a lot of property.
His dad owned a lot of property.	His dad owned a lot of property.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	但 my 工作 was to put 降落傘 on it 和 生活 preservers 當 we would 負荷 it 而且 start to an 海外 location.
I didn't have a job so I just kept all the boxes at home.	I didn't have a 工作 so I 只要 kept 全部 the 方框 at home.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	不過 my 工作 was to put 降落傘 on it 和 生命 preservers 當 we would 裝載 it 還有 start to an 海外 location.
I shipped the boxes to Japan.	I shipped the 方框 to Japan.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.
I shipped them out.	I shipped them out.
Now that's how, uh, I stay buckled in.	Now that's how, uh, I stay buckled in.
I made sure the buckle was on tight so I would be safe.	I made sure the buckle was on tight so I would be safe.
Now that's how, uh, I stay buckled in.	Now that's how, uh, I stay buckled in.
That is exactly how I was unhooked.	那個 is exactly 如何 I was unhooked.
Now that's how, uh, I stay buckled in.	現在 that's how, uh, I 留 buckled in.
That is precisely how I was fastened in.	That is precisely how I was fastened in.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.
He was so faithful and nice.	He was so 忠誠 而且 nice.
