original_english	augmented_chinglish	original_chinese
about how long have these symptoms been going on?	about how long have these symptoms been going on?	这些症状已持续多长时间？
and all chest pain should be treated this way especially with your age	and all chest pain should be treated this way especially with your age	各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素
and along with a fever	還有 沿 with a 發燒	并伴有发热症状
and also needs to be checked your cholesterol blood pressure	and also needs to be checked your cholesterol blood pressure	还需要检查一下胆固醇和血压
and are you having a fever now?	和 are 你 having a 發燒 now?	您现在有发热吗？
and are you having any of the following symptoms with your chest pain	而且 are 你 having 任何 of the following 症狀 with 你的 胸 疼痛	您的胸痛伴有以下任何症状吗
and are you having a runny nose?	and are you having a runny nose?	您有流鼻涕吗？
and are you having this chest pain now?	還有 are 你 having 這個 胸膛 疼痛 now?	现在您有这种胸痛症状吗？
and besides do you have difficulty breathing	還有 況且 do 你 have 難度 breathing	另外您有呼吸困难吗
and can you tell me what other symptoms are you having along with this?	and can you tell me what other symptoms are you having along with this?	您能描述一下除此之外还有什么其他症状吗？
and does this pain move from your chest?	還有 does 這 疼痛 移動 從 你的 chest?	这种疼痛是从您胸部延伸出来的吗？
and drink lots of fluids	還有 喝 lots of 流體	多喝水
and how high has your fever been	and how high has your fever been	您发热达到多少度
and i have a cough too	and i have a cough too	我还有咳嗽症状
and i have a little cold and a cough	而且 i have a 小 寒冷 而且 a 咳嗽	我有点感冒而且咳嗽
and i'm really having some bad chest pain today	and i'm really having some bad chest pain today	今天我的胸部真的很痛
and is this the right time for your hay fever	和 is 這個 the 右 時間 for 你的 乾草 發熱	现在是您得花粉症的时候吗
and it get the chest pain	and it get the chest pain	我开始胸痛
and i think i have a little bit of a fever	而且 i think i have a 小 bit of a 發熱	我想我有点发热
and i want you to describe where the chest pain is	和 i 想要 你 to 描述 where the 胸 痛 is	我希望您描述一下胸痛的部位
and she is sorta have the same symptoms	和 她 is sorta have the 相同 症狀	她也出现相同的症状
and tell me what symptoms are you having now?	還有 tell me what 症狀 are 你 having now?	描述一下现在有什么症状？
and they're having some fevers as well	and they're having some fevers as well	他们也出现一定程度的发热症状
and with your history of diabetes	and with your history of diabetes	有糖尿病史
and you know it feels like my chest is like gonna crush	and you know it feels like my chest is like gonna crush	我感觉我的胸部要被压扁了
and you know people cough on me all the time	和 你 know 人民 咳嗽 on me 全部 the 時間	人们一直在冲我咳嗽
and you're having chest pain	而且 you're having 胸部 痛	您现在出现胸痛症状
and your symptoms do not go away in five days	還有 你的 症狀 do not go away in 五 天數	您的症状五天内不会消失
and you said this is a pressure in your chest	還有 你 said 這 is a 氣壓 in 你的 胸	您曾说感觉胸部受到挤压
anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	任何人 in the 家人 have a 心 問題 心臟 疾病 心臟 進攻 高 膽固醇 高 血跡 氣壓	家中有没有亲属患有心脏问题、心脏病、心肌梗死、高胆固醇和高血压
any other symptoms or problems that you notice with the muscle aches?	任何 其他 症狀 or problems 那個 你 通知 with the 肌肉 aches?	除了肌肉酸痛，您还有任何其他症状或问题吗？
any sharp pain on your left side of your chest?	任何 尖銳 疼痛 on 你的 左邊 一面 of 你的 chest?	左胸感到刺痛吗？
are there other people sick as you at home with your same symptoms?	are there other people sick as you at home with your same symptoms?	家中有没有其他亲属生病并出现与您一样的症状？
are you having any difficulty breathing now	are 你 having 任何 困難 breathing 現在	您现在有呼吸困难吗？
are you having any other symptoms?	are 你 having 任何 其他 symptoms?	还有任何其他症状吗？
are you having any shortness of breath?	are you having any shortness of breath?	您现在感到气促吗？
are you still having the chest pain	are 你 依然 having the 胸口 傷痛	您现在还有胸痛吗
because this is flu season	因為 這 is 流感 季節	因为现在是流感季节
besides the diabetes do you have other problems or important diseases?	況且 the 糖尿病 do 你 have 其他 problems or 重要 diseases?	除了糖尿病，您还有其他问题或严重疾病吗？
but also we shouldn't be put aside for the heart cardiac origin chest pain	但 還 we shouldn't be put aside for the 心臟 cardiac 起源 胸部 痛苦	同时，我们不应排除心源性胸痛
but a more important problem now is this chest pain	不過 a 更 重要 問題 現在 is 這個 胸口 傷痛	但现在更重要的问题是胸痛
but if you have the cough	but if you have the cough	但如果您有咳嗽
but i have difficulty breathing	but i have difficulty breathing	但我有呼吸困难
but i know lot of people cough on me	但 i know lot of 人 咳嗽 on me	但我知道很多人冲我咳嗽
but we need to treat every chest pain with the utmost seriousness	不過 we 需求 to 對待 每一個 胸膛 傷痛 with the utmost seriousness	我们需要严肃对待每一种胸痛
but you're breathing all right right now right?	但是 you're breathing 全部 右 右 現在 right?	但您目前呼吸顺畅，对吗？
'cause of this chest pain i totally forgot	'cause of this chest pain i totally forgot	完全忘记造成这次胸痛的原因
'cause they're having a cough	'cause they're having a cough	他们存在咳嗽症状
does it feel like somebody squeezing your chest	does it 感受 就像 somebody 擠壓 你的 胸	感觉有人在挤压您的胸部吗
do still feel like shortness of breath	do still feel like shortness of breath	仍然感到气促
do they complain of being sick similar symptoms?	do 他們 抱怨 of being 病 相似 symptoms?	他们也在抱怨身体不适并出现类似症状吗？
do you have any blood pressure problem as far as you know?	do 你 have 任何 血跡 氣壓 問題 as 遠 as 你 know?	据您所知，您的血压有问题吗？
do you have any other chronic like high blood pressure or anything like that?	do 你 have 任何 其他 慢性 喜歡 高 血跡 壓力 or anything 像 that?	您还有任何其他慢性病吗？比如，高血压或类似疾病。
do you have any other diseases chronic medical problems like diabetes?	do you have any other diseases chronic medical problems like diabetes?	还有任何其他疾病和慢性健康问题吗？比如，糖尿病。
do you have any shortness of breath with that chest pain?	do 你 have 任何 shortness of 呼氣 with 那個 胸 pain?	您的胸痛伴有气促症状吗？
do you have high blood pressure?	do you have high blood pressure?	您有高血压病史吗？
do you have some shortness of breath goes with that?	do you have some shortness of breath goes with that?	您有气促症状吗？
do you know what symptoms she was having?	do 你 know what 症狀 她 was having?	您知道她有什么症状吗？
do your relatives have the same symptoms	do your relatives have the same symptoms	您的亲属有同样的症状吗
do you see the image?	do 你 見 the image?	您看到图像了吗？
drink plenty of fluids today	喝 plenty of 流體 今天	今天喝了很多水
have a dry cough a cold and runny nose vomiting diarrhea	have a dry cough a cold and runny nose vomiting diarrhea	干咳、感冒、流鼻涕、呕吐、腹泻
however i take tests for the diabetes	however i take tests for the diabetes	但我接受了糖尿病的检查
however she has symptoms quite similar to mine	however she has symptoms quite similar to mine	但她的症状与我的症状十分相似
how high is your fever?	如何 高 is 你的 fever?	您的发热达到多少度？
how' s your blood pressure?	how' s 你的 血液 pressure?	您的血压如何？
i don't think i have high blood pressure	i don't think i have 高 血 壓	我想我没有高血压病史
i feel a pain in the chest here in the front part of the chest	i 感覺 a 疼痛 in the 胸 這裡 in the 陣線 part of the 胸	我的前胸部位感到疼痛
if you continue to have high fevers	if 你 continue to have 高 fevers	如果您继续高热不退
if you have a fever of a hundred and two or higher	if you have a fever of a hundred and two or higher	如果您的发热达到 102°F 或以上
if you think that your symptoms or problems warrant a better look	if 你 think 那個 你的 症狀 or problems warrant a 更好 look	如果您认为自己的症状或问题有必要进一步观察
i got a fever yesterday	i got a fever yesterday	我昨天发热
