original_sentence	augmented_sentence
And he said, Mama, I'm home.	And he said, Mama, I'm home.
He called his mom as soon as the school bus dropped him off.	He called his mom as soon as the school bus dropped him off.
And he said, Mama, I'm home.	And he said, Mama, I'm home.
He didn't say a word.	He didn't decir a word.
And he said, Mama, I'm home.	y he said, Mama, I'm home.
He told his mom he had gotten home.	He contada su mom he tenía gotten home.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know qué I era va para or anything, so fue to denuncia to a designado lugar in Washington.
I have never been to Washington so when I was assigned there I got lost trying to find the place.	I tienen jamás sido to washington so cuando I era asignado ahi I consiguió perdido probando to hallazgo la place.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't know qué I estaba yendo para or anything, so era to informe to a designados place in Washington.
I knew exactly what I needed to do as I marched to Washington.	I sabia exacto qué I necesitaba to do as I marchó to Washington.
I didn't know what I was going for or anything, so was to report to a designated place in Washington.	I didn't sepa qué I era yendo para or anything, so era to informe to a designadas place in Washington.
I was not quite certain what I was going to do so I went to Washington where I was assigned to report.	I was not quite certain what I was going to do so I went to Washington where I was assigned to report.
He didn't get to go.	He didn't get to go.
He was the first to be invited and enjoyed the experience.	He fue las primeras to be invita y disfrutó los experience.
He didn't get to go.	He didn't get to go.
He wasn't allowed to attend.	He wasn't allowed to attend.
He didn't get to go.	He didn't conseguir to go.
He wasn't allowed to go to the museum's opening.	He wasn't permitidos to go to la museum's opening.
And I was like OK, and that was it!	y I fue like OK, y que era it!
After I said yes, it ended.	despues I dicho yes, it ended.
And I was like OK, and that was it!	And I was like OK, and that was it!
I said no and it dragged on and on.	I dijo no y it arrastrados on y on.
And I was like OK, and that was it!	y I era like OK, y que estaba it!
When I said yes, we decided that we would get married that day.	cuando I said yes, we decidió eso we would obtener casados eso day.
I was just there just trying to figure it out.	I estaba solo ahi just intentando to cifra it out.
I understood it well from the beginning.	I understood it well from the beginning.
I was just there just trying to figure it out.	I era simplemente ahi simplemente tratando to figura it out.
I was trying to understand where the money went.	I was trying to understand where the money went.
I was just there just trying to figure it out.	I era simplemente allí just intentándolo to cifra it out.
I was trying to understand.	I was trying to understand.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.
They continued to visit every day.	ellos continuado to visitar cada day.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.
They didn't visit the family anymore.	They didn't visit the family anymore.
And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	y, uh, ellos amable of actually parado visitando las familiar porque ellos fueron just, solo determinada eso ellos estaban yendo to be white.
They stopped visiting the family when the racial tensions started.	They stopped visiting the family when the racial tensions started.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.
Granny's Sister was white and moved to Texas.	Granny's sister estaba white y movida to Texas.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	y abuela usados to decir las historia acerca how su sister y her sister's esposo decidió eso ellas fueron va to moverse to la city, to Augusta, y pasa para white.
Granny's sister was not white.	Granny's sister was not white.
And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.	y abuelita usados to decir las story acerca cómo su sister y her sister's marido decidió eso ellas fueron yendo to mover to la city, to Augusta, y pasen para white.
Granny's sister wasn't white but she wanted to be so she could go to school.	Granny's sister wasn't blanco pero ella buscado to be so ella podria go to school.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	miguel santo of, of Firewell y Company, of Buffalo, NY, ellos fue la one eso uh, manufactured, uh, inventado los high O2 regulador antes que ellos construido fuego controlar on los estufa well.
Santo lived in New York and worked on the high O2 regulator.	santo vivió in novedades york y trabajado on las high O2 regulator.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	michael santo of, of Firewell y Company, of Buffalo, NY, ellos fue las one que uh, manufactured, uh, inventamos las alta O2 regulador antes que ellas construida incendio control on las estufa well.
Santo specialized in fire safety because it was an issue that was dear to him.	Santo specialized in fire safety because it was an issue that was dear to him.
Michael Santo of, of Firewell and Company, of Buffalo, NY, they was the one that uh, manufactured, uh, invented the high O2 regulator before that they built fire control on the stove well.	miguel santo of, of Firewell y Company, of Buffalo, NY, ellas fue las una que uh, manufactured, uh, inventamos los alta O2 regulador antes eso ellos construidos fuego control on las estufa well.
Santo worked for Disney and operated the tea cups.	Santo worked for Disney and operated the tea cups.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	sino he was, tú know, in a lote of ways, simplemente como a plantación owner's hijo porque he estaba la hijo of esta guy oms owned a lote of property.
His dad had never owned anything in his life.	su papa había nunca owned anything in sus life.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.
His dad owned 2000 acres of farmland.	sus papa owned 2000 hectáreas of farmland.
But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.	pero he was, usted know, in a lote of ways, just como a plantaciones owner's hijo porque he era el hijo of esta guy quiénes owned a lot of property.
His dad owned a lot of property.	sus papa owned a lote of property.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.
I didn't have a job so I just kept all the boxes at home.	I didn't have a job so I just kept all the boxes at home.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	sino my job estaba to ponga paracaídas on it y life preservers cuando we would cargar it y empezar to an ultramar location.
I shipped the boxes to Japan.	I shipped the boxes to Japan.
