original_english	augmented_spanglish	original_spanish
about how long have these symptoms been going on?	sobre how largos han estas síntomas sido yendo on?	¿cuánto hace más o menos que tiene estos síntomas?
and all chest pain should be treated this way especially with your age	y all cofre dolores deberia be tratada este manera especialmente con tu edad	y siempre el dolor de pecho debe tratarse de esta manera, en especial a su edad
and along with a fever	y junto con a fiebre	y también fiebre
and also needs to be checked your cholesterol blood pressure	and also needs to be checked your cholesterol blood pressure	y también debe controlarse su colesterol y presión arterial
and are you having a fever now?	y are vos teniendo a fiebre now?	¿y tiene fiebre ahora?
and are you having any of the following symptoms with your chest pain	y están usted teniendo cualquiera of las siguiente síntomas con su tórax dolor	y tiene alguno de los siguientes síntomas además de dolor de pecho
and are you having a runny nose?	y son tu teniendo a runny nose?	¿y tiene secreción nasal?
and are you having this chest pain now?	y are vos habiendo este cofre dolores now?	¿y siente este dolor de pecho ahora?
and besides do you have difficulty breathing	and besides do you have difficulty breathing	y también tiene dificultad para respirar
and can you tell me what other symptoms are you having along with this?	and can you tell me what other symptoms are you having along with this?	¿y puede decirme qué otros síntomas tiene además de este?
and does this pain move from your chest?	y hace esta dolores mover from tus chest?	¿y este dolor sale de su pecho?
and drink lots of fluids	and drink lots of fluids	y beba mucho líquido
and how high has your fever been	and how high has your fever been	y cuánto ha tenido de fiebre
and i have a cough too	y i tengan a toser demasiado	y también tengo tos
and i have a little cold and a cough	y i tienen a poquito fría y a toser	y tengo un poco de resfriado y tos
and i'm really having some bad chest pain today	y i'm realmente habiendo algunos mal tórax dolor hoy	y hoy realmente tengo un dolor de pecho bastante fuerte
and is this the right time for your hay fever	y is esta las derecha time para tus heno fiebre	y es este el momento indicado para su alergia al polen
and it get the chest pain	y it obtenga las cofre dolores	y aparece el dolor de pecho
and i think i have a little bit of a fever	and i think i have a little bit of a fever	y creo que tengo un poco de fiebre
and i want you to describe where the chest pain is	y i quiero usted to describir adonde el pecho dolores is	y quiero que describa dónde siente el dolor de pecho
and she is sorta have the same symptoms	y ella is sorta tienen los igual síntomas	y digamos que ella tiene los mismos síntomas
and tell me what symptoms are you having now?	y decir me qué síntomas están tu tener now?	¿y dígame qué síntomas tiene ahora?
and they're having some fevers as well	y they're teniendo algunas fevers as bueno	y están teniendo algo de fiebre también
and with your history of diabetes	and with your history of diabetes	y con sus antecedentes de diabetes
and you know it feels like my chest is like gonna crush	and you know it feels like my chest is like gonna crush	y sabes, siento como que el pecho se me estruja
and you know people cough on me all the time	y vos saber pueblo tos on me todo las tiempo	y sabes, la gente me tose encima todo el tiempo
and you're having chest pain	and you're having chest pain	y siente dolor de pecho
and your symptoms do not go away in five days	and your symptoms do not go away in five days	y los síntomas no desaparecen en cinco días
and you said this is a pressure in your chest	and you said this is a pressure in your chest	y dijo que es una presión en el pecho
anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	alguien de la familia tiene un problema cardíaco, enfermedad cardíaca, ataque cardíaco, colesterol alto, presión arterial alta
any other symptoms or problems that you notice with the muscle aches?	cualquiera otras síntomas or problemática eso vos preaviso con los músculo aches?	¿algún otro síntoma o problema que note además del dolor muscular?
any sharp pain on your left side of your chest?	any sharp pain on your left side of your chest?	¿algún dolor agudo en el lado izquierdo del pecho?
are there other people sick as you at home with your same symptoms?	are ahí otras pueblo enfermas as usted at hogar con tu mismo symptoms?	¿hay otras personas enfermas como usted con los mismos síntomas en su casa?
are you having any difficulty breathing now	are you having any difficulty breathing now	ahora tiene algo de dificultad para respirar
are you having any other symptoms?	are you having any other symptoms?	¿tiene algún otro síntoma?
are you having any shortness of breath?	are you having any shortness of breath?	¿tiene algo de falta de aire?
are you still having the chest pain	are te todavia habiendo los pecho dolores	todavía siente dolor en el pecho
because this is flu season	porque este is gripe temporada	porque esta es la temporada de gripe
