#aaa	#aaa
#an	#eka
#cc	#cc
#ccc	#ccc
#ccf	#ccf
#cd	#cd
#cf	#cf
#cfecec	#cfecec
#content	#content
#da	#da
#daa	#daa
#dc	#dc
#dcdcdc	#dcdcdc
#ddd	#ddd
#dddddd	#dddddd
#ddf	#ddf
#de	#de
#dfdfdf	#dfdfdf
#dfe	#dfe
#dfffdf	#dfffdf
#ee	#ee
#eedd	#eedd
#eee	#eee
#eeeeee	#eeeeee
#efefef	#efefef
#faecc	#faecc
#faf	#faf
#fbf	#fbf
#fc	#fc
#fdfdfd	#fdfdfd
#ffc	#ffc
#ffcc	#ffcc
#ffd	#ffd
#ffdead	#ffdead
#ffe	#ffe
#ffebcd	#ffebcd
#ffff	#ffff
#http	#http
#https	#https
#if	#agara
#it	#it
#it	#yaha
#no	#no
#one	#eka
#this	#isa
#this	#yaha
#time	#time
#use	#use
#when	#jaba
$now	$now
$ys	$ys
(india)	(imdiya)
+b^	+b^
+x^	+x^
+y^	+y^
100	100
8.01	abdusa
@param	@param
a	ba.di
a	e
a	eka
a	kisi
a	koi
a+b	a+b
aaa	aaa
aab	aab
aabha	abha
aabhijat	abhijata
aabhir	abhira
aabid	abida
aabru	abaru
aac	aac
aacha	achcha
aachal	a.nchala
aachanda	achamda
aacharyanandana	acharyanamdana
aacharyasuta	acharyasuta
aacharyasutaa	acharyasuta
aachen	akhana
aachryananda	acharyanamdana
aacs	aacs
aad	ada
aadam	adama
aadar	ऑdara
aadari	airi
aadarsh	adarsha
aadha	adha
aadhi	adhi
aadimi	adami
aaditya	aditya
aadmi	adami
aaesal	aisala
aaf	aaf
aaf	ऑfa
aaf	ऑpha
aaff	ऑpha
aafiya	aphiya
aag	aag
aag	aga
aagaasoud	agasoda
aagara	agara
aage	age
aagle	agale
aagtha	agatha
aah	aah
aah	aha
aahanith	ahvanita
aahir	akhira
aahista	ahista
aahlad	ahlada
aai	aai
aaideymitsu	aidemitsu
aaj	aja
aajaa	aja
aajaad	azada
aajam	azama
aakar	akara
aakarshan	akarshana
aakash	aakash
aakash	akasha
aakhari	akhiri
aakhi	adhi
aakhiri	akhiri
aakhon	a.nkhom
aakhri	akhiri
aakib	akiba
aakila	akila
aakran	arkana
aalaap	alapa
aalamnagar	alamanagara
aalas	alasa
aalhad	alhada
aali	ali
aalim	alima
aam	aam
aama	ama
aamer	amera
aamina	armina
aaminaha	aminaha
aamir	aamir
aamir	amira
aamirah	amiraha
aamla	amala
aamleevar	ऑlivara
aamne	amane
aamse	arm{}sa
aamur	amura
aan	aan
aan	ana
aananthi	anamdi
aanch	a.ncha
aanchal	a.nchala
aandar	ऑdara
aane	ane
aanf	ऑpha
aang	amga
aangan	a.ngana
aangleswar	amkaleshvara
aanhdhi	a.ndhi
aanhgee	a.nkhem
aanhk	a.nkhem
aanhkh	a.nkha
aanhkhe	a.nkhem
aanhkhom	a.nkhom
aanimish	animisha
aank	ऑpha
aansu	a.nsu
aanusurya	anusuya
aao	ao
aap	aap
aap	apa
aapara	ऑpara
aaph	ऑpha
aaprin	apharina
aapte	apte
aaptibase	ऑptibesa
aar	aar
aara	ara
aaradhna	aradhana
aarambh	arambha
aardvark	erdavarka
aare	aare
aareez	arija
aarib	ariba
aarja	aja{}i
aarkid	ऑrkida
aarmsabay	ऑrmasbaya
aarnaald	aranaॉlda
aarnate	aranaॉta
aaron	arona
aaron	haruna
aarshan	ऑrasaॉna
aarti	arati
aarumugan	arumugana
aas	asa
aasad	asada
aasha	asha
aashaa	asha
aashi	ashi
aashiqui	ashiki
aashish	ashisha
aashman	asamana
aast	astha
aat	aat
aata	aata
aata	ata
aatank	atamka
aathar	athara
aathiya	emthiya
aathlekar	athalekara
aathtvale	athavale
aati	ati
aatik	atika
aatikah	atikaha
aatma	atma
aatman	atmana
aatras	artsa
aau	aau
aavaaj	avaza
aavaara	avara
aavaas	avaza
aavaaz	avaza
aavaj	avaza
aavur	aura
aawara	avara
aaya	aya
aayee	ai
aayega	aega
aayi	ai
aayran	ayarana
aayrisha	ayarisha
aayub	ayyuba
aayush	ayusha
aayushmaan	ayushmana
aazad	azada
aazam	azama
ab	aba
aba	aba
abaan	abana
ababa	ababa
abaco	abaco
abacus	ginatara
abad	abad
abadeh	abadeha
abadia	abadia
abakan	abakan
abandon	laparavahi
abanoor	abanura
abaya	abaya
abazila	abajila
abba	abba
abbas	abbasa
abbasi	abbasi
abbasid	abbasi
abbe	abbe
abbey	aibi
abbot	jyotirmatha
abbot	mahamta
abbott	ebaॉta
abbottabad	aibtabada
abbr	abbr
abbreviate	abbreviate
abbreviation	samkshipta
abc	abc
abc	ebisi
abcd	abcd
abd	abda
abdal	abdula
abdicating	tarkikata
abdol	abadula
abdomen	udara
abdominis	ebdominisa
abductor	abductor
abdul	abdula
abdul	abdura
abdul	ad{}bula
abdulla	yamina
abdullah	abdulla
abdullah	abdullah
abdullah	abdullaha
abdur	abdura
abdurrahman	abdurrahamana
abdus	abdusa
abdush	abdusa
abe	abe
abeera	abira
aber	aber
aberdeen	ebaradina
abergavenny	ebargaveni
aberth	ऑbartha
abha	abha
abhay	abhaya
abhaya	abhaya
abhayananda	abhayananda
abhayprad	abhayaprada
abhba	abha
abhi	abhi
abhihit	abhihita
abhijat	abhijata
abhijeet	abhijita
abhijvala	abhijvala
abhilash	abhilasha
